Plate,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7
10;AC-AS;Ad;1,0,8,5,1,3,1,4
10;AC-AS;Ad;2,0,7,7,4,1,1,0
10;AC-AS;Ad;3,0,7,6,2,3,1,0
10;AC-AL;Ad;1,-1,8,7,2,3,1,4
10;AC-AL;Ad;2,0,7,6,4,1,2,-1
10;AC-AL;Ad;3,0,6,5,1,2,1,1
10;DC-DS;De;1,0,5,3,2,2,-2,-1
10;DC-DS;De;2,0,7,2,1,2,1,3
10;DC-DS;De;3,0,5,4,2,0,3,3
10;DC-DL;De;1,-1,6,5,3,3,-1,4
10;DC-DL;De;2,0,7,6,5,4,4,6
10;DC-DL;De;3,0,5,5,3,1,2,3
14;AC-AS;Ad;1,-1,7,1,-2,0,-1,5
14;AC-AS;Ad;2,0,7,5,4,0,0,0
14;AC-AS;Ad;3,0,5,2,0,1,0,-1
14;AC-AL;Ad;1,-1,8,7,1,2,0,6
14;AC-AL;Ad;2,0,7,4,4,0,0,-2
14;AC-AL;Ad;3,0,6,3,0,0,-1,0
14;DC-DS;De;1,1,6,0,1,1,-3,0
14;DC-DS;De;2,0,7,2,1,2,0,0
14;DC-DS;De;3,0,6,1,-1,-3,-1,0
14;DC-DL;De;1,0,7,3,1,1,-1,2
14;DC-DL;De;2,0,7,3,2,3,3,5
14;DC-DL;De;3,0,6,7,1,-1,0,3
17;AC-AS;Ad;1,-1,7,3,3,-2,2,0
17;AC-AS;Ad;2,-1,7,3,3,0,0,-1
17;AC-AS;Ad;3,0,7,4,2,3,2,-1
17;AC-AL;Ad;1,-1,8,7,5,3,5,3
17;AC-AL;Ad;2,0,7,4,3,1,2,0
17;AC-AL;Ad;3,0,6,5,3,2,2,-1
17;DC-DS;De;1,1,7,0,0,2,1,0
17;DC-DS;De;2,0,8,0,1,0,2,0
17;DC-DS;De;3,0,7,2,-1,-2,2,0
17;DC-DL;De;1,0,8,4,2,3,3,3
17;DC-DL;De;2,0,8,3,4,3,5,2
17;DC-DL;De;3,0,7,6,0,1,4,1
