Day,Plate,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,,Plate,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7
10,A;C;1,0,8,7,3,3,1,5,,10;AC-AS;1,0,8,5,1,3,1,4
10,A;C;2,0,7,8,5,2,2,2,,10;AC-AS;2,0,7,7,4,1,1,0
10,A;C;3,0,7,6,3,3,1,3,,10;AC-AS;3,0,7,6,2,3,1,0
10,D;C;1,0,6,5,4,5,1,6,,10;AC-AL;1,-1,8,7,2,3,1,4
10,D;C;2,0,7,7,5,4,4,7,,10;AC-AL;2,0,7,6,4,1,2,-1
10,D;C;3,0,6,6,4,1,3,5,,10;AC-AL;3,0,6,5,1,2,1,1
10,A;S;1,0,0,2,2,0,0,1,,10;DC-DS;1,0,5,3,2,2,-2,-1
10,A;S;2,0,0,1,1,1,1,2,,10;DC-DS;2,0,7,2,1,2,1,3
10,A;S;3,0,0,0,1,0,0,3,,10;DC-DS;3,0,5,4,2,0,3,3
10,D;S;1,0,1,2,2,3,3,7,,10;DC-DL;1,-1,6,5,3,3,-1,4
10,D;S;2,0,0,5,4,2,3,4,,10;DC-DL;2,0,7,6,5,4,4,6
10,D;S;3,0,1,2,2,1,0,2,,10;DC-DL;3,0,5,5,3,1,2,3
10,A;L;1,1,0,0,1,0,0,1,,14;AC-AS;1,-1,7,1,-2,0,-1,5
10,A;L;2,0,0,2,1,1,0,3,,14;AC-AS;2,0,7,5,4,0,0,0
10,A;L;3,0,1,1,2,1,0,2,,14;AC-AS;3,0,5,2,0,1,0,-1
10,D;L;1,1,0,0,1,2,2,2,,14;AC-AL;1,-1,8,7,1,2,0,6
10,D;L;2,0,0,1,0,0,0,1,,14;AC-AL;2,0,7,4,4,0,0,-2
10,D;L;3,0,1,1,1,0,1,2,,14;AC-AL;3,0,6,3,0,0,-1,0
14,A;C;1,0,8,7,3,2,1,8,,14;DC-DS;1,1,6,0,1,1,-3,0
14,A;C;2,0,8,8,5,2,2,4,,14;DC-DS;2,0,7,2,1,2,0,0
14,A;C;3,0,7,6,3,3,2,6,,14;DC-DS;3,0,6,1,-1,-3,-1,0
14,D;C;1,1,7,5,4,4,1,7,,14;DC-DL;1,0,7,3,1,1,-1,2
14,D;C;2,0,7,7,5,5,4,8,,14;DC-DL;2,0,7,3,2,3,3,5
14,D;C;3,0,7,7,4,1,3,7,,14;DC-DL;3,0,6,7,1,-1,0,3
14,A;S;1,1,1,6,5,2,2,3,,17;AC-AS;1,-1,7,3,3,-2,2,0
14,A;S;2,0,1,3,1,2,2,4,,17;AC-AS;2,-1,7,3,3,0,0,-1
14,A;S;3,0,2,4,3,2,2,7,,17;AC-AS;3,0,7,4,2,3,2,-1
14,D;S;1,0,1,5,3,3,4,7,,17;AC-AL;1,-1,8,7,5,3,5,3
14,D;S;2,0,0,5,4,3,4,8,,17;AC-AL;2,0,7,4,3,1,2,0
14,D;S;3,0,1,6,5,4,4,7,,17;AC-AL;3,0,6,5,3,2,2,-1
14,A;L;1,1,0,0,2,0,1,2,,17;DC-DS;1,1,7,0,0,2,1,0
14,A;L;2,0,1,4,1,2,2,6,,17;DC-DS;2,0,8,0,1,0,2,0
14,A;L;3,0,1,3,3,3,3,6,,17;DC-DS;3,0,7,2,-1,-2,2,0
14,D;L;1,1,0,2,3,3,2,5,,17;DC-DL;1,0,8,4,2,3,3,3
14,D;L;2,0,0,4,3,2,1,3,,17;DC-DL;2,0,8,3,4,3,5,2
14,D;L;3,0,1,0,3,2,3,4,,17;DC-DL;3,0,7,6,0,1,4,1
17,A;C;1,0,8,7,7,4,7,8,,,,,,,,,
17,A;C;2,0,8,8,5,3,5,7,,,,,,,,,
17,A;C;3,0,7,8,7,5,6,7,,,,,,,,,
17,D;C;1,1,8,6,6,6,5,8,,,,,,,,,
17,D;C;2,0,8,7,7,5,7,8,,,,,,,,,
17,D;C;3,1,8,8,5,5,7,8,,,,,,,,,
17,A;S;1,1,1,4,4,6,5,8,,,,,,,,,
17,A;S;2,1,1,5,2,3,5,8,,,,,,,,,
17,A;S;3,0,0,4,5,2,4,8,,,,,,,,,
17,D;S;1,0,1,6,6,4,4,8,,,,,,,,,
17,D;S;2,0,0,7,6,5,5,8,,,,,,,,,
17,D;S;3,1,1,6,6,7,5,8,,,,,,,,,
17,A;L;1,1,0,0,2,1,2,5,,,,,,,,,
17,A;L;2,0,1,4,2,2,3,7,,,,,,,,,
17,A;L;3,0,1,3,4,3,4,8,,,,,,,,,
17,D;L;1,1,0,2,4,3,2,5,,,,,,,,,
17,D;L;2,0,0,4,3,2,2,6,,,,,,,,,
17,D;L;3,1,1,2,5,4,3,7,,,,,,,,,
